ElectDist,wfp_vote_totals,vote_totals,wfp_pct
32041,6,375,1.6
32042,12,576,2.0833333333333335
32043,9,664,1.355421686746988
32044,4,400,1.0
32045,3,408,0.7352941176470589
32046,10,504,1.9841269841269842
32047,11,568,1.9366197183098592
32048,11,753,1.4608233731739708
32049,15,465,3.225806451612903
32050,13,736,1.766304347826087
32051,20,764,2.6178010471204187
32052,0,4,0.0
32053,16,940,1.702127659574468
32054,15,836,1.7942583732057416
32055,13,580,2.2413793103448274
32056,10,524,1.9083969465648856
32057,15,585,2.5641025641025643
32058,11,560,1.9642857142857142
32059,12,541,2.2181146025878005
32060,10,577,1.733102253032929
32061,11,558,1.971326164874552
32062,14,590,2.3728813559322033
32063,6,441,1.3605442176870748
32064,9,480,1.875
32065,6,569,1.054481546572935
32066,3,169,1.7751479289940828
32067,14,514,2.7237354085603114
32068,14,441,3.1746031746031744
33001,20,476,4.201680672268908
33002,23,545,4.220183486238532
33003,23,474,4.852320675105485
33004,21,440,4.7727272727272725
33005,16,442,3.6199095022624435
33006,17,506,3.3596837944664033
33007,22,411,5.35279805352798
33008,21,503,4.174950298210735
33009,21,449,4.67706013363029
33010,28,588,4.761904761904762
33011,11,310,3.5483870967741935
33012,20,541,3.6968576709796674
33013,2,76,2.6315789473684212
33014,17,466,3.648068669527897
33015,17,471,3.6093418259023355
33016,10,480,2.0833333333333335
33017,20,621,3.2206119162640903
33018,13,512,2.5390625
33019,3,411,0.7299270072992701
33020,9,480,1.875
33021,20,616,3.2467532467532467
33022,4,267,1.4981273408239701
33023,16,703,2.275960170697013
33024,0,110,0.0
33025,11,253,4.3478260869565215
33026,4,91,4.395604395604396
33027,15,626,2.3961661341853033
33028,3,277,1.0830324909747293
33029,15,738,2.032520325203252
33030,28,872,3.2110091743119265
33031,21,705,2.978723404255319
33032,13,930,1.3978494623655915
33033,7,553,1.2658227848101267
33034,15,820,1.829268292682927
33035,16,954,1.6771488469601676
33036,17,897,1.89520624303233
33037,14,874,1.6018306636155606
33038,10,736,1.358695652173913
33039,9,656,1.3719512195121952
33040,7,576,1.2152777777777777
33041,8,496,1.6129032258064515
33042,16,803,1.9925280199252802
33043,13,448,2.9017857142857144
33044,21,930,2.2580645161290325
33045,6,755,0.7947019867549668
33046,15,930,1.6129032258064515
33047,5,730,0.684931506849315
33048,14,729,1.9204389574759946
33049,9,367,2.4523160762942777
33050,11,847,1.2987012987012987
33051,21,870,2.413793103448276
33052,14,886,1.580135440180587
33053,18,665,2.706766917293233
33054,15,633,2.3696682464454977
33055,13,601,2.1630615640599
33056,28,848,3.30188679245283
33057,16,591,2.707275803722504
33058,8,646,1.238390092879257
33059,8,435,1.839080459770115
33060,18,632,2.848101265822785
33061,19,681,2.790014684287812
33062,8,384,2.0833333333333335
33063,7,432,1.6203703703703705
33064,0,3,0.0
33065,15,671,2.235469448584203
34001,68,692,9.826589595375722
34002,7,106,6.60377358490566
34003,47,415,11.325301204819278
34004,102,570,17.894736842105264
34005,54,399,13.533834586466165
34006,4,38,10.526315789473685
34007,95,616,15.422077922077921
34008,86,703,12.233285917496444
34009,62,514,12.062256809338521
34010,16,391,4.092071611253197
34011,13,237,5.485232067510548
34012,146,912,16.00877192982456
34013,145,896,16.183035714285715
34014,101,717,14.08647140864714
34015,15,190,7.894736842105263
34016,17,175,9.714285714285714
34017,93,550,16.90909090909091
34018,89,555,16.036036036036037
34019,126,730,17.26027397260274
34020,126,746,16.890080428954423
34021,28,537,5.21415270018622
34022,17,250,6.8
34023,39,255,15.294117647058824
34024,102,607,16.803953871499175
34025,94,638,14.733542319749215
34026,0,1,0.0
34027,24,317,7.570977917981073
34028,14,221,6.334841628959276
34029,15,254,5.905511811023622
34030,9,299,3.0100334448160537
34031,29,417,6.954436450839329
34032,9,279,3.225806451612903
34033,9,196,4.591836734693878
34034,22,396,5.555555555555555
34035,9,235,3.8297872340425534
34036,22,458,4.8034934497816595
34037,15,211,7.109004739336493
34038,20,203,9.852216748768473
34039,63,514,12.256809338521402
34040,49,595,8.235294117647058
34041,90,597,15.075376884422111
34042,48,373,12.868632707774799
34043,36,390,9.23076923076923
34044,40,450,8.88888888888889
34045,15,234,6.410256410256411
34046,59,601,9.816971713810316
34047,30,490,6.122448979591836
34048,44,360,12.222222222222221
34049,52,294,17.687074829931973
34050,10,82,12.195121951219512
34051,29,475,6.105263157894737
34052,41,544,7.536764705882353
34053,0,19,0.0
34054,8,276,2.898550724637681
34055,8,115,6.956521739130435
34056,21,317,6.624605678233438
34059,0,0,0.0
34060,5,74,6.756756756756757
34061,1,28,3.5714285714285716
35001,25,340,7.352941176470588
35002,13,242,5.371900826446281
35003,15,248,6.048387096774194
35004,9,334,2.694610778443114
35005,16,383,4.177545691906006
35006,22,427,5.152224824355972
35007,22,605,3.6363636363636362
35008,21,609,3.4482758620689653
35009,19,380,5.0
35010,7,228,3.0701754385964914
35011,15,275,5.454545454545454
35012,23,423,5.4373522458628845
35013,11,368,2.989130434782609
35014,22,433,5.080831408775982
35015,15,395,3.7974683544303796
35016,17,511,3.3268101761252447
35017,12,315,3.8095238095238093
35018,8,191,4.18848167539267
35019,13,208,6.25
35020,7,147,4.761904761904762
35021,4,142,2.816901408450704
35022,22,310,7.096774193548387
35023,14,260,5.384615384615385
35024,5,326,1.5337423312883436
35025,16,447,3.5794183445190155
35026,16,481,3.3264033264033266
35027,9,129,6.976744186046512
35028,3,70,4.285714285714286
35029,10,269,3.717472118959108
35030,28,488,5.737704918032787
35031,11,221,4.97737556561086
35032,12,456,2.6315789473684212
35033,9,549,1.639344262295082
35034,11,455,2.4175824175824174
35035,15,464,3.2327586206896552
35036,8,482,1.6597510373443984
35037,10,257,3.8910505836575875
35038,14,353,3.9660056657223794
35039,22,420,5.238095238095238
35040,21,355,5.915492957746479
35041,19,380,5.0
35042,20,375,5.333333333333333
35043,4,146,2.73972602739726
35044,15,261,5.747126436781609
35045,8,172,4.651162790697675
35046,16,296,5.405405405405405
35047,0,0,0.0
35048,7,86,8.13953488372093
35049,17,310,5.483870967741935
35051,0,0,0.0
35053,0,0,0.0
35054,0,0,0.0
35055,0,0,0.0
35056,0,0,0.0
35061,0,0,0.0
35063,0,0,0.0
35065,0,0,0.0
36001,31,449,6.904231625835189
36002,49,307,15.960912052117264
36003,120,766,15.66579634464752
36004,87,533,16.322701688555348
36005,133,802,16.58354114713217
36006,13,489,2.658486707566462
36007,49,719,6.815020862308762
36008,75,553,13.5623869801085
36009,78,482,16.182572614107883
36010,135,822,16.423357664233578
36011,48,363,13.223140495867769
36012,121,625,19.36
36013,76,649,11.710323574730355
36014,99,702,14.102564102564102
36015,35,318,11.0062893081761
36016,93,595,15.630252100840336
36017,138,757,18.229854689564068
36018,59,385,15.324675324675324
36019,138,825,16.727272727272727
36020,141,838,16.82577565632458
36021,111,763,14.5478374836173
36022,151,837,18.040621266427717
36023,141,749,18.82510013351135
36024,89,536,16.604477611940297
36025,143,833,17.16686674669868
36026,85,493,17.24137931034483
36027,42,229,18.34061135371179
36028,131,761,17.21419185282523
36029,7,113,6.1946902654867255
36030,48,375,12.8
36031,76,449,16.92650334075724
36032,69,587,11.754684838160136
36033,9,62,14.516129032258064
36034,7,54,12.962962962962964
36035,71,842,8.43230403800475
36036,111,1111,9.990999099909992
36037,47,580,8.10344827586207
36038,24,459,5.228758169934641
36039,22,473,4.651162790697675
36040,24,502,4.780876494023905
36041,87,972,8.950617283950617
36042,66,632,10.443037974683545
36043,92,615,14.959349593495935
36044,116,733,15.82537517053206
36045,50,352,14.204545454545455
36046,38,579,6.563039723661485
36047,38,518,7.335907335907336
36048,15,140,10.714285714285714
36049,2,50,4.0
36050,9,60,15.0
36051,24,230,10.434782608695652
36052,16,157,10.19108280254777
36053,30,237,12.658227848101266
36054,91,659,13.808801213960546
36055,82,686,11.9533527696793
36056,149,905,16.464088397790054
36057,120,721,16.643550624133148
36058,79,455,17.36263736263736
36059,76,553,13.743218806509946
36060,65,461,14.099783080260304
36061,100,499,20.04008016032064
36062,112,699,16.02288984263233
36063,166,860,19.302325581395348
36064,51,355,14.366197183098592
36065,104,716,14.525139664804469
36066,18,110,16.363636363636363
36067,10,58,17.24137931034483
36070,0,0,0.0
37001,77,874,8.810068649885583
37002,114,1027,11.10029211295034
37003,104,1011,10.286844708209694
37004,49,567,8.641975308641975
37005,49,658,7.446808510638298
37006,78,1023,7.624633431085044
37007,95,812,11.699507389162562
37008,93,1216,7.6480263157894735
37009,51,454,11.233480176211454
37010,1,13,7.6923076923076925
37011,11,112,9.821428571428571
37012,109,609,17.898193760262725
37013,6,61,9.836065573770492
37014,61,558,10.931899641577061
37015,13,143,9.090909090909092
37016,28,255,10.980392156862745
37017,35,357,9.803921568627452
37018,35,442,7.918552036199095
37019,83,556,14.928057553956835
37020,86,608,14.144736842105264
37021,95,648,14.660493827160494
37022,104,715,14.545454545454545
37023,75,527,14.231499051233397
37024,78,651,11.981566820276498
37025,63,550,11.454545454545455
37026,69,532,12.969924812030076
37027,117,768,15.234375
37028,121,785,15.414012738853502
37029,111,587,18.909710391822827
37030,56,586,9.556313993174061
37031,76,598,12.709030100334449
37032,47,271,17.343173431734318
37033,57,456,12.5
37034,1,12,8.333333333333334
37035,126,865,14.566473988439306
37036,116,967,11.995863495346432
37037,38,317,11.987381703470032
37039,11,242,4.545454545454546
37040,13,324,4.012345679012346
37041,1,27,3.7037037037037037
37043,61,514,11.867704280155642
37044,60,387,15.503875968992247
37045,2,28,7.142857142857143
37046,4,43,9.30232558139535
37047,26,442,5.882352941176471
37048,26,366,7.103825136612022
37049,8,185,4.324324324324325
37050,23,412,5.58252427184466
37051,29,438,6.621004566210046
37052,83,470,17.659574468085108
37053,82,466,17.59656652360515
37054,116,478,24.267782426778243
37055,74,381,19.42257217847769
37056,67,437,15.331807780320366
37057,124,486,25.51440329218107
37058,44,257,17.120622568093385
37059,81,340,23.823529411764707
